model,held_out_question,dimension,query_source,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,candidate_queries,train_documents,test_documents
criterion_only_selective,7,instruction_following,criterion_only,10.00000000,0.51944444,0.15423104,1.40509859,1078,criterion_only,144,16
criterion_only_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
criterion_only_selective,16,comprehensiveness,criterion_only,100.00000000,0.66574074,0.46039586,0.62613871,1078,criterion_only,144,16
criterion_only_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
criterion_only_selective,16,instruction_following,criterion_only,1000.00000000,0.55185185,0.22865399,0.78636345,1078,criterion_only,144,16
criterion_only_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
criterion_only_selective,17,comprehensiveness,criterion_only,10.00000000,0.66481481,0.45803483,0.74182528,1078,criterion_only,144,16
criterion_only_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
criterion_only_selective,17,instruction_following,criterion_only,10.00000000,0.56203704,0.30313183,1.58076024,1078,criterion_only,144,16
criterion_only_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
criterion_only_selective,18,comprehensiveness,criterion_only,100.00000000,0.68611111,0.50259017,0.57992944,1078,criterion_only,144,16
criterion_only_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
criterion_only_selective,18,instruction_following,criterion_only,10.00000000,0.60648148,0.42615538,1.60194455,1078,criterion_only,144,16
criterion_only_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
fixed_dimension_selective,1,comprehensiveness,criterion_only,100.00000000,0.68055556,0.47366675,0.85731954,1078,criterion_only,144,16
fixed_dimension_selective,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
fixed_dimension_selective,1,instruction_following,matched_full,100.00000000,0.60092593,0.40624796,1.15342516,1078,matched_full,144,16
fixed_dimension_selective,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
fixed_dimension_selective,2,comprehensiveness,criterion_only,10.00000000,0.63055556,0.37069403,0.98235243,1078,criterion_only,144,16
fixed_dimension_selective,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
fixed_dimension_selective,2,instruction_following,matched_full,0.10000000,0.59259259,0.39944173,1.92902619,1078,matched_full,144,16
fixed_dimension_selective,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
fixed_dimension_selective,3,comprehensiveness,criterion_only,10.00000000,0.66851852,0.45696434,1.10218734,1078,criterion_only,144,16
fixed_dimension_selective,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
fixed_dimension_selective,3,instruction_following,matched_full,1.00000000,0.59259259,0.38100576,1.44227965,1078,matched_full,144,16
fixed_dimension_selective,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
fixed_dimension_selective,4,comprehensiveness,criterion_only,100.00000000,0.65925926,0.43410933,0.75305480,1078,criterion_only,144,16
fixed_dimension_selective,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
fixed_dimension_selective,4,instruction_following,matched_full,100.00000000,0.60185185,0.38827893,0.95631200,1078,matched_full,144,16
fixed_dimension_selective,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
fixed_dimension_selective,5,comprehensiveness,criterion_only,1.00000000,0.66296296,0.44081902,0.92217070,1078,criterion_only,144,16
fixed_dimension_selective,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
fixed_dimension_selective,5,instruction_following,matched_full,10.00000000,0.57407407,0.34689348,1.10066788,1078,matched_full,144,16
fixed_dimension_selective,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
fixed_dimension_selective,6,comprehensiveness,criterion_only,100.00000000,0.66018519,0.44393488,0.70020012,1078,criterion_only,144,16
fixed_dimension_selective,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
fixed_dimension_selective,6,instruction_following,matched_full,1000.00000000,0.59629630,0.37369083,0.68708599,1078,matched_full,144,16
fixed_dimension_selective,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
fixed_dimension_selective,7,comprehensiveness,criterion_only,100.00000000,0.66759259,0.44486053,0.59107184,1078,criterion_only,144,16
fixed_dimension_selective,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
fixed_dimension_selective,7,instruction_following,matched_full,1000.00000000,0.52870370,0.18244007,0.65372323,1078,matched_full,144,16
fixed_dimension_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
fixed_dimension_selective,16,comprehensiveness,criterion_only,100.00000000,0.66574074,0.46039586,0.62613871,1078,criterion_only,144,16
fixed_dimension_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
fixed_dimension_selective,16,instruction_following,matched_full,1000.00000000,0.58333333,0.31802834,0.75312812,1078,matched_full,144,16
fixed_dimension_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
fixed_dimension_selective,17,comprehensiveness,criterion_only,10.00000000,0.66481481,0.45803483,0.74182528,1078,criterion_only,144,16
fixed_dimension_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
fixed_dimension_selective,17,instruction_following,matched_full,100.00000000,0.58055556,0.34521057,0.91314868,1078,matched_full,144,16
fixed_dimension_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
fixed_dimension_selective,18,comprehensiveness,criterion_only,100.00000000,0.68611111,0.50259017,0.57992944,1078,criterion_only,144,16
fixed_dimension_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
fixed_dimension_selective,18,instruction_following,matched_full,100.00000000,0.60555556,0.42051084,0.95613427,1078,matched_full,144,16
fixed_dimension_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
nested_query_selective,1,comprehensiveness,criterion_only,100.00000000,0.68055556,0.47366675,0.85731954,1078,matched_full|criterion_only,144,16
nested_query_selective,1,insight,matched_full,1000.00000000,0.66388889,0.48315842,1.13518608,1047,matched_full,144,16
nested_query_selective,1,instruction_following,matched_full,100.00000000,0.60092593,0.40624796,1.15342516,1078,matched_full|criterion_only,144,16
nested_query_selective,1,readability,matched_full,1000.00000000,0.72129630,0.59345404,0.67664891,1047,matched_full,144,16
nested_query_selective,2,comprehensiveness,criterion_only,10.00000000,0.63055556,0.37069403,0.98235243,1078,matched_full|criterion_only,144,16
nested_query_selective,2,insight,matched_full,1000.00000000,0.67500000,0.51714313,1.03696920,1047,matched_full,144,16
nested_query_selective,2,instruction_following,matched_full,0.10000000,0.59259259,0.39944173,1.92902619,1078,matched_full|criterion_only,144,16
nested_query_selective,2,readability,matched_full,1000.00000000,0.70740741,0.57284451,0.72964884,1047,matched_full,144,16
nested_query_selective,3,comprehensiveness,criterion_only,10.00000000,0.66851852,0.45696434,1.10218734,1078,matched_full|criterion_only,144,16
nested_query_selective,3,insight,matched_full,1000.00000000,0.68796296,0.54344311,1.01361503,1047,matched_full,144,16
nested_query_selective,3,instruction_following,criterion_only,10.00000000,0.62314815,0.45290450,1.37074692,1078,matched_full|criterion_only,144,16
nested_query_selective,3,readability,matched_full,1000.00000000,0.71481481,0.58439398,0.70141933,1047,matched_full,144,16
nested_query_selective,4,comprehensiveness,criterion_only,100.00000000,0.65925926,0.43410933,0.75305480,1078,matched_full|criterion_only,144,16
nested_query_selective,4,insight,matched_full,1000.00000000,0.67037037,0.50314054,1.00642381,1047,matched_full,144,16
nested_query_selective,4,instruction_following,matched_full,100.00000000,0.60185185,0.38827893,0.95631200,1078,matched_full|criterion_only,144,16
nested_query_selective,4,readability,matched_full,1000.00000000,0.71851852,0.59009035,0.70279934,1047,matched_full,144,16
nested_query_selective,5,comprehensiveness,criterion_only,1.00000000,0.66296296,0.44081902,0.92217070,1078,matched_full|criterion_only,144,16
nested_query_selective,5,insight,matched_full,1000.00000000,0.71203704,0.59408355,0.91109335,1047,matched_full,144,16
nested_query_selective,5,instruction_following,matched_full,10.00000000,0.57407407,0.34689348,1.10066788,1078,matched_full|criterion_only,144,16
nested_query_selective,5,readability,matched_full,1000.00000000,0.73425926,0.63003923,0.72262556,1047,matched_full,144,16
nested_query_selective,6,comprehensiveness,criterion_only,100.00000000,0.66018519,0.44393488,0.70020012,1078,matched_full|criterion_only,144,16
nested_query_selective,6,insight,matched_full,1000.00000000,0.70000000,0.57268257,0.91690594,1047,matched_full,144,16
nested_query_selective,6,instruction_following,criterion_only,100.00000000,0.59814815,0.39573113,0.73640488,1078,matched_full|criterion_only,144,16
nested_query_selective,6,readability,matched_full,1000.00000000,0.71481481,0.58249081,0.72683219,1047,matched_full,144,16
nested_query_selective,7,comprehensiveness,criterion_only,100.00000000,0.66759259,0.44486053,0.59107184,1078,matched_full|criterion_only,144,16
nested_query_selective,7,insight,matched_full,1000.00000000,0.69814815,0.56188049,0.93965544,1047,matched_full,144,16
nested_query_selective,7,instruction_following,matched_full,1000.00000000,0.52870370,0.18244007,0.65372323,1078,matched_full|criterion_only,144,16
nested_query_selective,7,readability,matched_full,1000.00000000,0.71203704,0.55235460,0.69897842,1047,matched_full,144,16
nested_query_selective,16,comprehensiveness,criterion_only,100.00000000,0.66574074,0.46039586,0.62613871,1078,matched_full|criterion_only,144,16
nested_query_selective,16,insight,matched_full,1000.00000000,0.70277778,0.57532607,0.94376236,1047,matched_full,144,16
nested_query_selective,16,instruction_following,matched_full,1000.00000000,0.58333333,0.31802834,0.75312812,1078,matched_full|criterion_only,144,16
nested_query_selective,16,readability,matched_full,1000.00000000,0.71481481,0.58640853,0.68631421,1047,matched_full,144,16
nested_query_selective,17,comprehensiveness,criterion_only,10.00000000,0.66481481,0.45803483,0.74182528,1078,matched_full|criterion_only,144,16
nested_query_selective,17,insight,matched_full,1000.00000000,0.68240741,0.51497795,0.99302280,1047,matched_full,144,16
nested_query_selective,17,instruction_following,matched_full,100.00000000,0.58055556,0.34521057,0.91314868,1078,matched_full|criterion_only,144,16
nested_query_selective,17,readability,matched_full,1000.00000000,0.69166667,0.52947747,0.70440042,1047,matched_full,144,16
nested_query_selective,18,comprehensiveness,criterion_only,100.00000000,0.68611111,0.50259017,0.57992944,1078,matched_full|criterion_only,144,16
nested_query_selective,18,insight,matched_full,1000.00000000,0.70092593,0.57822814,1.03705463,1047,matched_full,144,16
nested_query_selective,18,instruction_following,criterion_only,10.00000000,0.60648148,0.42615538,1.60194455,1078,matched_full|criterion_only,144,16
nested_query_selective,18,readability,matched_full,1000.00000000,0.71944444,0.58457638,0.72005371,1047,matched_full,144,16
